"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.858994","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.23066","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","6.14353","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.435598","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Benchmark Period Mean (intersection)","MeanState","bona","scalar","kg m-2","2.53523","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Benchmark Period Mean (complement)","MeanState","bona","scalar","kg m-2","0.485389","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Period Mean (original grids)","MeanState","bona","scalar","kg m-2","2.14625","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Model Period Mean (intersection)","MeanState","bona","scalar","kg m-2","3.12284","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Model Period Mean (complement)","MeanState","bona","scalar","kg m-2","0.122244","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Spatial Distribution Score","MeanState","global","score","1","0.894509","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Spatial Distribution Score","MeanState","bona","score","1","0.886054","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Bias","MeanState","global","scalar","kg m-2","1.09387","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Bias Score","MeanState","global","score","1","0.368733","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Bias","MeanState","bona","scalar","kg m-2","0.587612","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Bias Score","MeanState","bona","score","1","0.425747","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Overall Score","MeanState","global","score","1","0.631621","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Overall Score","MeanState","bona","score","1","0.655901","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.285755","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.64521","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","bona","scalar","1","0.269502","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","bona","score","1","0.31695","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.377791","20.0"
