Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE,MeanState,bona,scalar,W m-2,23.427
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE Score,MeanState,global,score,1,0.784119
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE Score,MeanState,bona,score,1,0.812695
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Overall Score,MeanState,global,score,1,0.832292
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Overall Score,MeanState,bona,score,1,0.859223
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Period Mean (original grids),MeanState,global,scalar,W m-2,120.376
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Period Mean (original grids),MeanState,bona,scalar,W m-2,90.1392
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias,MeanState,global,scalar,W m-2,-46.9951
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias,MeanState,bona,scalar,W m-2,-34.1312
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias Score,MeanState,global,score,1,0.526863
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias Score,MeanState,bona,score,1,0.666388
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Phase Shift,MeanState,global,scalar,months,0.433905
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Phase Shift,MeanState,bona,scalar,months,0.444792
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Seasonal Cycle Score,MeanState,global,score,1,0.966799
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Seasonal Cycle Score,MeanState,bona,score,1,0.970536
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE,MeanState,global,scalar,W m-2,54.5861
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE,MeanState,bona,scalar,W m-2,44.954
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE Score,MeanState,global,score,1,0.686061
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE Score,MeanState,bona,score,1,0.706196
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Overall Score,MeanState,global,score,1,0.716446
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Overall Score,MeanState,bona,score,1,0.762329
